validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.15 10.90452694429784 3.9111396087904797 9.554472454722882 0.8430830646399509 0.0114 0.05195 0.841087056655919 0.00415 0.026825
0.15 10.845333437235448 3.8549273685893475 9.72208663783383 0.8407799785045295 0.010425 0.023625 0.8329494856440964 0.005925 0.026975
0.15 10.825749069308614 3.721840032041567 9.172372427684719 0.8395516658989712 0.0058 0.037175 0.8377091969906341 0.005 0.038725
0.15 10.940486521652375 4.079800801499206 9.703691240697514 0.8142177184093352 0.003875 0.0203 0.8294180869031168 0.010675 0.031275
0.15 10.966362871051572 4.091161037368099 9.895753119129678 0.8456932289267619 0.0098 0.035825 0.8306463995086749 0.004375 0.018925
0.15 10.93601046577665 4.193848037046326 9.825943885773793 0.8320282511899278 0.007975 0.0281 0.8374021188392445 0.004725 0.018725
0.15 10.914002108740647 3.929379773779129 9.564837871376266 0.8357131890066022 0.00675 0.03495 0.8403193612774451 0.00735 0.0412
0.15 10.88460253308633 3.7853325436124914 9.55464483777692 0.8429295255642562 0.008825 0.050375 0.8401658222017504 0.005275 0.0312
0.15 10.780371001392052 3.9068349891741008 9.71946783225948 0.8407799785045295 0.008825 0.018925 0.8400122831260556 0.002725 0.0143
0.15 10.917584370288246 4.0391117774093654 9.79485353934289 0.8099186242898818 0.003825 0.018025 0.8384768923691079 0.0063 0.025525
