validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.2 13.903846153846153 7.218615834894114 12.667948717948718 0.665 0.01155 0.028275 0.685 0.0025 0.002575
0.2 14.242307692307692 7.724431999624317 13.25 0.775 0.029025 0.045375 0.76 0.206925 0.161475
0.2 14.415384615384616 7.924000063536265 13.752564102564103 0.775 0.162575 0.144525 0.275 0.0 0.0
0.2 14.498717948717948 8.12773513942065 13.966666666666667 0.73 0.24665 0.165025 0.65 0.014725 0.0462
0.2 14.235897435897435 7.975499906076826 13.543589743589743 0.675 0.0414 0.040275 0.7 0.0 0.0
0.2 14.246153846153845 7.829128655406927 13.72051282051282 0.75 0.15595 0.14375 0.7 0.233875 0.168625
0.2 14.405128205128205 7.7468623031066555 13.523076923076923 0.71 0.02705 0.03505 0.715 0.0 0.0
0.2 14.232051282051282 7.6587272443494125 13.0 0.74 0.03725 0.03615 0.715 0.0 0.0
0.2 14.14102564102564 7.692520317791803 13.278205128205128 0.715 0.0222 0.02005 0.685 0.0 0.0
0.2 14.434615384615384 7.824123517256991 13.521794871794873 0.725 0.048475 0.0405 0.635 0.00135 0.00305
