validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.0 13.684615384615384 7.189868645683121 12.028205128205128 0.695 0.000675 0.0002 0.695 0.0 0.0
0.0 13.533333333333333 7.0958477118658125 11.998717948717948 0.73 0.0041 0.006025 0.72 0.0 0.0
0.0 13.994871794871795 7.450497530373087 13.071794871794872 0.705 0.00645 0.0042 0.635 0.0 0.0
0.0 13.821794871794872 7.531670257846725 12.743589743589743 0.725 0.010325 0.010525 0.465 0.004275 0.01
0.0 13.842307692307692 7.336905051961604 13.080769230769231 0.77 0.018275 0.01775 0.675 0.0 0.0
0.0 14.080769230769231 7.497609931546585 13.335897435897436 0.71 0.0367 0.0324 0.66 0.02495 0.020275
0.0 14.126923076923077 7.739614348698063 13.338461538461539 0.715 0.040725 0.032 0.335 0.0 0.0
0.0 13.87948717948718 7.457598688390538 13.135897435897435 0.755 0.029025 0.034725 0.245 0.0 0.0
0.0 14.03076923076923 7.3466390560168815 12.787179487179488 0.75 0.02715 0.042975 0.775 0.006375 0.0091
0.0 13.138461538461538 6.955457764960034 12.026923076923078 0.745 0.02565 0.028125 0.775 0.046675 0.0452
