validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.35 14.075641025641026 8.084145340581994 13.593589743589744 0.81 0.23335 0.182325 0.805 0.135425 0.12945
0.35 13.905128205128205 7.768472242940568 13.434615384615384 0.76 0.238225 0.178475 0.77 0.193675 0.171875
0.35 13.916666666666666 7.770414643174825 13.488461538461538 0.74 0.261125 0.15155 0.765 0.1738 0.163625
0.35 14.22051282051282 8.115858250598066 13.593589743589744 0.765 0.24875 0.1672 0.755 0.23675 0.169325
0.35 14.0 8.181645285333062 13.533333333333333 0.715 0.18985 0.146325 0.71 0.2007 0.1373
0.35 13.852564102564102 7.836671763379918 13.462820512820512 0.76 0.263925 0.135125 0.745 0.2562 0.165
0.35 14.087179487179487 7.937581644097476 13.655128205128205 0.795 0.167875 0.144825 0.765 0.148875 0.1543
0.35 13.875641025641025 7.8702303189520455 13.475641025641025 0.74 0.206825 0.166975 0.735 0.142075 0.15195
0.35 13.72948717948718 7.482861548958836 13.171794871794871 0.73 0.1909 0.149825 0.75 0.1248 0.137875
0.35 13.734615384615385 7.628405170746799 13.343589743589744 0.795 0.22465 0.1548 0.785 0.232725 0.181625
