validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.7 12.552564102564103 6.68040936690258 11.91025641025641 0.765 0.06685 0.05925 0.77 0.050125 0.037925
0.7 13.13076923076923 7.034303090072321 12.61923076923077 0.745 0.10975 0.08305 0.745 0.059125 0.050025
0.7 13.439743589743589 7.256998629826687 12.838461538461539 0.785 0.0731 0.05335 0.77 0.055925 0.06065
0.7 13.292307692307693 7.122714959751151 12.673076923076923 0.72 0.08475 0.068825 0.735 0.074525 0.054075
0.7 13.341025641025642 7.2101565754506955 12.792307692307693 0.95 0.071375 0.053825 0.745 0.0563 0.05775
0.7 13.221794871794872 7.056502024873065 12.497435897435897 0.82 0.094175 0.07835 0.83 0.069225 0.0458
0.7 13.344871794871795 7.411873104271298 12.783333333333333 0.805 0.0873 0.074475 0.765 0.048375 0.04775
0.7 13.173076923076923 6.834326626113962 12.353846153846154 0.76 0.0907 0.0698 0.76 0.038025 0.031975
0.7 13.212820512820512 6.73802353880409 12.652564102564103 0.785 0.144375 0.1108 0.79 0.098225 0.080325
0.7 13.441025641025641 7.0891519980773445 12.776923076923078 0.725 0.0922 0.070375 0.73 0.035775 0.040925
