validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.15 14.191025641025641 8.03275001519346 13.742307692307692 0.765 0.03425 0.0262 0.76 0.05765 0.0447
0.15 14.071794871794872 7.791243901900008 13.673076923076923 0.755 0.179775 0.1445 0.735 0.178425 0.150775
0.15 14.189743589743589 7.639748893640299 13.473076923076922 0.7 0.03075 0.027725 0.705 0.038825 0.03475
0.15 13.646153846153846 7.64216876888821 13.037179487179488 0.785 0.009375 0.00855 0.77 0.069375 0.064675
0.15 14.174358974358974 7.917110232653211 13.792307692307693 0.76 0.027125 0.0264 0.77 0.0123 0.01615
0.15 14.25897435897436 7.890730183592172 13.878205128205128 0.79 0.099475 0.08515 0.77 0.0701 0.065325
0.15 14.11025641025641 7.788150404145871 13.689743589743589 0.72 0.032675 0.02625 0.725 0.002975 0.00215
0.15 13.080769230769231 7.073000251382616 12.524358974358975 0.76 0.006975 0.006075 0.745 0.08405 0.07525
0.15 14.474358974358974 8.103821871944035 13.993589743589743 0.835 0.0594 0.05225 0.86 0.018275 0.019375
0.15 14.203846153846154 7.941116484068974 13.798717948717949 0.775 0.118125 0.1034 0.77 0.116725 0.0967
