validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.65 13.135897435897435 6.834741186415397 12.337179487179487 0.775 0.08695 0.0855 0.75 0.052 0.04695
0.65 12.801282051282051 6.756002132608464 12.02051282051282 0.785 0.0763 0.079 0.775 0.0813 0.0873
0.65 12.847435897435897 6.799713700075698 12.115384615384615 0.77 0.0572 0.059575 0.735 0.0616 0.070075
0.65 13.408974358974358 7.268588928668116 12.835897435897436 0.82 0.117025 0.118125 0.82 0.0775 0.07555
0.65 13.432051282051281 6.958813377421981 12.73974358974359 0.785 0.1332 0.132525 0.765 0.080625 0.08565
0.65 13.894871794871795 7.609825620583538 13.262820512820513 0.76 0.126025 0.129775 0.75 0.08785 0.08215
0.65 13.837179487179487 7.546131042160443 13.242307692307692 0.74 0.10855 0.107625 0.755 0.097675 0.112575
0.65 13.432051282051281 7.087218258111923 12.810256410256411 0.76 0.09855 0.102125 0.775 0.0213 0.023175
0.65 13.664102564102564 7.522926673628036 13.097435897435897 0.755 0.094675 0.095325 0.73 0.092775 0.09775
0.65 13.332051282051282 7.157421933270352 12.72948717948718 0.765 0.09405 0.10185 0.755 0.0226 0.03325
