validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.75 10.884316802270734 3.764757058110248 9.412531539605007 0.8378627360663289 0.021575 0.0553 0.8433901427913404 0.011525 0.038275
0.75 11.017487434337996 3.8977862320307066 9.63954703400787 0.8452326116996776 0.025275 0.061925 0.8241977583294948 0.009475 0.0468
0.75 10.953852111869518 3.8963438269088533 9.55068002753406 0.8358667280822969 0.016275 0.03815 0.837095040687855 0.0094 0.0395
0.75 10.951609951461183 3.7426335173501624 9.33419406789767 0.8344848764010441 0.019525 0.079575 0.8245048364808844 0.015775 0.022275
0.75 10.864100756714379 3.897466743944313 9.624207303610245 0.8432366037156457 0.043025 0.0528 0.8387839705204975 0.009375 0.034175
0.75 10.934090638065248 3.900716519601156 9.723345270269473 0.8392445877475817 0.038975 0.03605 0.839091048671887 0.00695 0.024575
0.75 10.95414964974361 3.8271736343063094 9.24021106297767 0.8335636419468755 0.03135 0.0735 0.8326424074927069 0.01955 0.035375
0.75 11.098179233509377 3.9214177939953276 9.861577588313846 0.8357131890066022 0.034225 0.06105 0.8407799785045295 0.00915 0.035225
0.75 10.997290280075235 3.8563428726192455 9.691926687612389 0.841701212958698 0.032975 0.06665 0.841701212958698 0.02555 0.052125
0.75 11.065634257471801 3.8738584570363734 9.708476641505825 0.8400122831260556 0.016825 0.048075 0.8447719944725933 0.00835 0.0293
