validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.65 13.487179487179487 7.063164603119344 12.36923076923077 0.665 0.01155 0.028275 0.305 0.0 0.0
0.65 13.974358974358974 7.3745895419311704 12.837179487179487 0.775 0.029025 0.045375 0.73 0.0 0.0
0.65 14.293589743589743 7.574499417123852 13.507692307692308 0.775 0.162575 0.144525 0.275 0.0 0.0
0.65 13.824358974358974 7.422316435449923 13.275641025641026 0.73 0.24665 0.165025 0.66 0.00065 0.0012
0.65 14.014102564102565 7.738341606859716 13.162820512820513 0.675 0.0414 0.040275 0.7 0.0 0.0
0.65 13.820512820512821 7.308667078271155 13.25 0.75 0.15595 0.14375 0.715 0.100925 0.10655
0.65 13.947435897435897 7.339788949110224 13.073076923076924 0.71 0.02705 0.03505 0.71 0.001 0.00195
0.65 13.878205128205128 7.451058610821049 12.623076923076923 0.74 0.03725 0.03615 0.76 0.11325 0.117
0.65 13.871794871794872 7.617912944270403 13.16025641025641 0.715 0.0222 0.02005 0.7 0.1764 0.126525
0.65 13.976923076923077 7.261324385770083 12.882051282051282 0.725 0.048475 0.0405 0.335 0.0 0.0
