validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.65 13.164102564102564 6.704014884060129 11.866666666666667 0.695 0.000675 0.0002 0.76 0.015575 0.021275
0.65 13.2 6.768559992044146 11.965384615384615 0.73 0.0041 0.006025 0.77 0.05295 0.0576
0.65 13.246153846153845 7.040535127265892 12.580769230769231 0.705 0.00645 0.0042 0.635 0.0 0.0
0.65 13.197435897435897 6.930588787783352 11.951282051282051 0.725 0.010325 0.010525 0.765 0.050825 0.0485
0.65 13.332051282051282 6.987529102370727 12.569230769230769 0.77 0.018275 0.01775 0.67 0.003625 0.0035
0.65 13.967948717948717 7.546148155514682 13.05 0.71 0.0367 0.0324 0.75 0.07055 0.064425
0.65 13.644871794871795 7.242209059166076 12.984615384615385 0.715 0.040725 0.032 0.665 0.0 0.0
0.65 13.585897435897436 7.340532005701703 12.873076923076923 0.755 0.029025 0.034725 0.77 0.0066 0.008775
0.65 13.451282051282051 6.99406145890309 12.378205128205128 0.75 0.02715 0.042975 0.77 2.5e-05 0.0
0.65 12.78076923076923 6.192964878258996 11.585897435897436 0.745 0.02565 0.028125 0.3 0.0 0.0
