validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.95 12.933333333333334 7.129250866026883 12.375641025641025 0.81 0.23335 0.182325 0.83 0.192425 0.141275
0.95 12.73076923076923 6.683773612008907 12.043589743589743 0.76 0.238225 0.178475 0.785 0.16975 0.151475
0.95 12.558974358974359 7.085746274841294 11.983333333333333 0.74 0.261125 0.15155 0.735 0.196975 0.163075
0.95 12.982051282051282 7.392455441742778 12.432051282051281 0.765 0.24875 0.1672 0.73 0.232825 0.171725
0.95 12.667948717948718 6.861860742324541 12.062820512820513 0.715 0.18985 0.146325 0.74 0.197925 0.1438
0.95 12.584615384615384 6.885054157757787 12.106410256410257 0.76 0.263925 0.135125 0.79 0.2759 0.226925
0.95 13.243589743589743 7.65924099028171 12.692307692307692 0.795 0.167875 0.144825 0.78 0.20345 0.11175
0.95 12.63974358974359 6.655000276244629 12.084615384615384 0.74 0.206825 0.166975 0.755 0.2012 0.15805
0.95 12.693589743589744 6.869889198282856 12.084615384615384 0.73 0.1909 0.149825 0.725 0.1769 0.1761
0.95 12.644871794871795 6.86853870739618 12.093589743589744 0.795 0.22465 0.1548 0.775 0.30025 0.145975
