validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.15 13.182051282051281 7.342037538881421 12.57948717948718 0.765 0.06685 0.05925 0.78 0.066875 0.060375
0.15 13.953846153846154 7.474735385278369 13.462820512820512 0.745 0.10975 0.08305 0.725 0.01935 0.038925
0.15 13.938461538461539 7.6306275725280175 13.275641025641026 0.785 0.0731 0.05335 0.775 0.021125 0.037
0.15 13.919230769230769 8.084586710423817 13.417948717948718 0.72 0.08475 0.068825 0.75 0.056525 0.05045
0.15 13.984615384615385 7.715914176321414 13.46923076923077 0.95 0.071375 0.053825 0.725 0.0696 0.069325
0.15 13.612820512820512 7.528367877723083 12.846153846153847 0.82 0.094175 0.07835 0.835 0.045 0.037125
0.15 13.535897435897436 7.404066472742936 12.946153846153846 0.805 0.0873 0.074475 0.8 0.03055 0.0357
0.15 13.473076923076922 7.144464665550646 12.574358974358974 0.76 0.0907 0.0698 0.755 0.0476 0.048975
0.15 13.866666666666667 7.65861648406898 13.39102564102564 0.785 0.144375 0.1108 0.78 0.066775 0.08455
0.15 13.483333333333333 7.405988196067387 12.85897435897436 0.725 0.0922 0.070375 0.73 0.042825 0.040075
