validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.05 13.884615384615385 7.62911253653335 13.439743589743589 0.765 0.03425 0.0262 0.76 0.01125 0.010625
0.05 14.184615384615384 7.833451317410597 13.72948717948718 0.755 0.179775 0.1445 0.76 0.153975 0.15205
0.05 14.217948717948717 8.015935557655009 13.735897435897435 0.7 0.03075 0.027725 0.72 0.03855 0.035275
0.05 13.560256410256411 7.482682349073753 12.946153846153846 0.785 0.009375 0.00855 0.775 0.026775 0.021475
0.05 13.929487179487179 7.779057936784171 13.50897435897436 0.76 0.027125 0.0264 0.775 0.041 0.055425
0.05 14.357692307692307 8.059324968646239 13.885897435897435 0.79 0.099475 0.08515 0.75 0.040475 0.03915
0.05 13.811538461538461 7.644838963198696 13.430769230769231 0.72 0.032675 0.02625 0.715 0.00115 0.001
0.05 13.001282051282052 7.184817098437011 12.41025641025641 0.76 0.006975 0.006075 0.72 0.02655 0.0223
0.05 14.201282051282051 7.914417855899769 13.762820512820513 0.835 0.0594 0.05225 0.855 0.00305 0.004
0.05 14.180769230769231 7.928791029232216 13.756410256410257 0.775 0.118125 0.1034 0.785 0.10145 0.0858
